Year,Location,BHK,Sqft,Price_per_sqft,Rate_of_Change_%,Future_Projects,Description
2021,Malad East,1,579,145.08,-9.55,SEZ zone expansion,New IT park proposed
2022,Malad East,3,1045,76.15,-5.27,Metro expansion,Water shortage issues
2023,Malad East,3,1080,67.67,-8.16,No major projects,Influx of working professionals
2024,Malad East,2,865,80.4,-4.83,Affordable housing scheme,New IT park proposed
2021,Ambernath West,3,1494,60.24,0.3,IT corridor development,New metro line announced
2022,Ambernath West,2,638,147.56,4.6,SEZ zone expansion,Improved infrastructure
2023,Ambernath West,2,966,110.46,13.35,Private residential complex,New highway construction
2024,Ambernath West,3,1458,71.86,-1.81,SEZ zone expansion,Low demand
2021,Borivali West,3,1291,24.79,5.27,No major projects,Government housing scheme launched
2022,Borivali West,2,738,40.25,-7.16,Green energy township,Government housing scheme launched
2023,Borivali West,2,847,32.46,-7.44,Metro expansion,Low demand
2024,Borivali West,1,569,43.88,-9.19,SEZ zone expansion,New metro line announced
2021,Andheri East,3,1261,54.72,8.99,Commercial hub in planning,New highway construction
2022,Andheri East,1,487,160.49,13.28,Private residential complex,New metro line announced
2023,Andheri East,2,955,73.73,-9.91,No major projects,Influx of working professionals
2024,Andheri East,1,591,108.74,-8.73,Green energy township,Water shortage issues
2021,Ambernath East,2,856,86.45,10.75,Commercial hub in planning,New IT park proposed
2022,Ambernath East,2,624,121.36,2.33,New flyover project,Private township project started
2023,Ambernath East,1,436,177.45,2.17,Green energy township,Low demand
2024,Ambernath East,1,456,160.55,-5.37,Smart city initiative,Government housing scheme launched
2021,Kalamboli,2,911,58.18,5.56,Green energy township,Influx of working professionals
2022,Kalamboli,2,634,77.84,-6.88,Private residential complex,Improved infrastructure
2023,Kalamboli,2,651,85.29,12.51,No major projects,New metro line announced
2024,Kalamboli,2,770,65.46,-9.22,Green energy township,Real estate slowdown
2021,Diva,2,917,87.24,6.66,Metro expansion,Private township project started
2022,Diva,1,414,198.85,2.9,No major projects,New highway construction
2023,Diva,3,1030,78.98,-1.18,SEZ zone expansion,New highway construction
2024,Diva,1,554,151.56,3.21,Green energy township,Real estate slowdown
2021,Dahisar,1,541,105.36,-6.97,New flyover project,No major development
2022,Dahisar,1,368,163.17,5.35,Smart city initiative,New metro line announced
2023,Dahisar,3,1408,43.66,2.37,Private residential complex,Environmental concerns
2024,Dahisar,1,526,111.4,-4.67,Green energy township,New IT park proposed
2021,Santacruz East,1,559,93.02,1.64,Affordable housing scheme,Real estate slowdown
2022,Santacruz East,1,416,141.03,12.82,IT corridor development,Improved infrastructure
2023,Santacruz East,2,959,55.79,-8.81,IT corridor development,Influx of working professionals
2024,Santacruz East,1,316,182.24,7.64,Green energy township,New metro line announced
2021,Palghar,3,1497,24.72,9.22,Metro expansion,Influx of working professionals
2022,Palghar,1,343,118.47,9.83,Private residential complex,Improved infrastructure
2023,Palghar,3,1016,39.97,-0.07,Smart city initiative,New metro line announced
2024,Palghar,1,498,78.58,-3.64,Commercial hub in planning,Improved infrastructure
2021,Thane West,1,479,179.54,8.6,New flyover project,Private township project started
2022,Thane West,3,1182,81.22,11.63,Green energy township,Private township project started
2023,Thane West,3,1452,75.92,14.83,New flyover project,Water shortage issues
2024,Thane West,3,1288,97.44,13.85,IT corridor development,New IT park proposed
2021,Borivali East,2,706,103.4,2.21,No major projects,Real estate slowdown
2022,Borivali East,2,982,75.16,1.1,Smart city initiative,No major development
2023,Borivali East,1,564,147.69,12.86,Private residential complex,Low demand
2024,Borivali East,2,609,153.12,11.95,Private residential complex,New metro line announced
2021,Airoli,3,1251,34.37,-1.03,New flyover project,Real estate slowdown
2022,Airoli,2,732,65.83,12.07,Green energy township,Improved infrastructure
2023,Airoli,1,425,106.98,-5.65,Commercial hub in planning,Environmental concerns
2024,Airoli,3,1500,31.32,3.34,Smart city initiative,No major development
2021,Virar,1,328,152.44,-3.63,Private residential complex,Government housing scheme launched
2022,Virar,3,1391,36.74,2.2,Commercial hub in planning,Private township project started
2023,Virar,1,580,92.82,5.35,Smart city initiative,New metro line announced
2024,Virar,3,1122,51.66,7.67,Private residential complex,New metro line announced
2021,Thane East,1,535,78.5,9.69,New flyover project,Low demand
2022,Thane East,3,1472,26.66,-6.56,No major projects,New metro line announced
2023,Thane East,1,426,88.22,-4.24,Green energy township,Influx of working professionals
2024,Thane East,3,1324,26.91,-5.21,Private residential complex,Government housing scheme launched
2021,Kandivali East,2,632,47.47,4.52,IT corridor development,Government housing scheme launched
2022,Kandivali East,2,899,37.19,11.45,SEZ zone expansion,Government housing scheme launched
2023,Kandivali East,1,538,70.57,13.55,Smart city initiative,Influx of working professionals
2024,Kandivali East,3,1130,34.35,2.25,Green energy township,Improved infrastructure
2021,Panvel,1,359,197.77,12.04,IT corridor development,Private township project started
2022,Panvel,3,1489,47.45,-0.5,New flyover project,Environmental concerns
2023,Panvel,1,443,151.72,-4.86,Commercial hub in planning,Influx of working professionals
2024,Panvel,1,419,160.73,0.2,Smart city initiative,Environmental concerns
2021,Kandivali West,2,880,36.36,-1.48,Metro expansion,New metro line announced
2022,Kandivali West,2,816,40.32,2.83,Affordable housing scheme,Real estate slowdown
2023,Kandivali West,1,517,58.87,-7.5,No major projects,Improved infrastructure
2024,Kandivali West,1,366,79.18,-4.79,IT corridor development,Improved infrastructure
2021,Khopoli,3,1292,65.02,0.25,Smart city initiative,No major development
2022,Khopoli,3,1064,84.75,7.35,New flyover project,Private township project started
2023,Khopoli,2,751,109.72,-8.62,Smart city initiative,Water shortage issues
2024,Khopoli,1,505,161.08,-1.28,Private residential complex,Water shortage issues
2021,Taloja,2,730,47.95,6.16,Smart city initiative,Influx of working professionals
2022,Taloja,1,564,66.71,7.5,IT corridor development,Water shortage issues
2023,Taloja,1,566,74.32,11.79,IT corridor development,Environmental concerns
2024,Taloja,2,775,59.17,9.03,SEZ zone expansion,Improved infrastructure
2021,Kalyan West,1,370,159.46,11.17,Affordable housing scheme,Improved infrastructure
2022,Kalyan West,1,402,145.49,-0.87,Affordable housing scheme,Low demand
2023,Kalyan West,2,606,92.93,-3.71,No major projects,Private township project started
2024,Kalyan West,1,505,113.19,1.5,Commercial hub in planning,Improved infrastructure
